week_id,week_start,revenue,week_revenue_median,week_resid,week_robust_z,orders_count,orders_per_1000_sessions_w,sessions,is_payday_window,promo_flag,is_holiday,stockout_rate_w,top_product_revenue_share_w,margin_rate
2021-W05,2021-02-01,9755566.78,25228935.715000004,-15473368.935000004,-3.929956367900048,298.0,1.6836728928664249,176994.0,2,7.0,0,0.0,0.8265331284981744,0.20824169479981766
2021-W46,2021-11-15,10053925.04,23268034.48,-13214109.440000001,-3.802808585855107,302.0,2.29629854922595,131516.0,0,4.0,0,0.0,0.7043926378549342,0.11824827172174737
2022-W46,2022-11-14,11604959.05,23268034.48,-11663075.43,-3.356445894751099,354.0,2.959272386812011,119624.0,0,3.0,0,0.0,0.6292284201751267,0.14481290651344447
2020-W46,2020-11-09,12061112.32,23268034.48,-11206922.16,-3.22517230575153,349.0,2.837629075534596,122990.0,0,0.0,1,0.0,0.7913367504399461,0.19314556221627163
2020-W08,2020-02-17,18053122.560000002,27839708.689999998,-9786586.129999995,-2.7398471980469807,552.0,3.543617956898821,155773.0,0,0.0,0,0.0,0.8454206029607766,0.2095403716131422
2022-W05,2022-01-31,14783257.34,25228935.715000004,-10445678.375000004,-2.653013730837348,414.0,2.5616909635423113,161612.0,3,0.0,5,0.5824742268041238,0.7334039116442791,0.1725238519050227
2020-W05,2020-01-27,15154585.32,25228935.715000004,-10074350.395000003,-2.558703127522023,478.0,3.924111943913111,121811.0,7,0.0,2,0.6422976501305483,0.8399537500508789,0.21693205063561577
2019-W36,2019-09-02,12749406.18,23406485.85,-10657079.670000002,-2.472288802302685,446.0,2.526854915469338,176504.0,1,7.0,1,0.0,0.8141305054853374,0.0855675781756291
2020-W04,2020-01-20,11600353.05,20573070.015,-8972716.965,-2.4149730772123448,354.0,3.392982086204748,104333.0,2,0.0,5,0.0,0.809923622971113,0.20718446323493575
2019-W46,2019-11-11,15567976.65,23268034.48,-7700057.83,-2.215953043257438,491.0,4.185990997135452,117296.0,0,0.0,1,0.0,0.7958502475014954,0.19705292402272456
2021-W31,2021-08-02,14097488.030000001,52619226.56,-38521738.53,-2.214559630416413,640.0,2.3308495218116527,274578.0,1,7.0,0,0.0,0.7389085861245307,-0.3192950985609028
2020-W10,2020-03-02,11700178.719999999,23739671.625,-12039492.905000001,-2.159816229084906,353.0,1.5932263058362632,221563.0,1,0.0,1,0.0,0.8112058949814059,0.20831189235030756
2018-W46,2018-11-12,15882910.7,23268034.48,-7385123.780000001,-2.1253200789433393,581.0,5.390260421015521,107787.0,0,1.0,0,0.0,0.8145414876105677,0.20385467192735643
2020-W07,2020-02-10,13317597.3,24360123.490000002,-11042526.190000001,-2.021028396573967,409.0,2.6010696819572257,157243.0,0,0.0,1,0.0,0.8116691814971759,0.19259126268970458
2021-W02,2021-01-11,7800255.57,15879891.760000002,-8079636.190000001,-1.9287715874571891,235.0,2.1049048762136793,111644.0,0,0.0,0,0.0,0.816229576436814,0.20287655010770375
2020-W02,2020-01-06,7811062.56,15879891.760000002,-8068829.200000002,-1.9261917416859489,262.0,2.431577091202702,107749.0,0,0.0,0,0.0,0.8247977660545073,0.1995791671139809
2020-W39,2020-09-21,18899629.17,34836785.35,-15937156.18,-1.8959002261717808,623.0,3.214869934515731,193787.0,3,7.0,0,0.0,0.83780130336468,0.10115603553929424
2021-W36,2021-09-06,15876544.14,23406485.85,-7529941.710000001,-1.7468378906868893,480.0,2.670464660850988,179744.0,0,7.0,1,0.0,0.7558286194774116,0.07886700776684272
2021-W39,2021-09-27,20466978.12,34836785.35,-14369807.23,-1.7094468090606294,636.0,3.4986577476565595,181784.0,6,6.0,0,0.6444444444444445,0.7390467925193026,0.10025838733832595
2020-W28,2020-07-06,16419068.21,29931919.72,-13512851.509999998,-1.6878483629991776,638.0,2.8738997648627467,221998.0,0,7.0,0,0.0,0.8264209728576328,0.026882765474545822
2020-W52,2020-12-21,11096321.96,24566371.27,-13470049.309999999,-1.6691636919598256,593.0,4.27945644408201,138569.0,3,7.0,2,0.0,0.823534858455592,0.002633734863259268
2020-W03,2020-01-13,10600943.0,17182774.415,-6581831.414999999,-1.6683761100484356,307.0,2.6903157396615636,114113.0,0,0.0,0,0.0,0.8331416384372597,0.22354543742004834
2022-W14,2022-04-04,19661334.5,37323657.46,-17662322.96,-1.6268496866977915,631.0,1.956376827321066,322535.0,0,7.0,1,0.0,0.7595191044290466,0.0709468601940524
2020-W30,2020-07-20,21901972.4,38484483.67,-16582511.270000003,-1.6114727698273559,713.0,3.1260275774382356,228085.0,2,3.0,0,0.0,0.77133536613844,0.1905352597376116
2022-W31,2022-08-01,24774250.23,52619226.56,-27844976.330000002,-1.6007678480631276,720.0,2.611032336910206,275753.0,2,0.0,0,0.0,0.7454894993203594,0.1758895905847965
2021-W14,2021-04-05,20195969.87,37323657.46,-17127687.59,-1.5776052364546476,650.0,2.0757024656151906,313147.0,0,7.0,0,0.0,0.7912874827376605,0.09683231518903031
2019-W31,2019-07-29,25321855.87,52619226.56,-27297370.69,-1.5692867833446202,1135.0,4.777981713169549,237548.0,5,6.0,0,0.6577868852459017,0.8356967787992559,-0.13174119373897217
2022-W27,2022-07-04,12588923.66,26181248.6,-13592324.940000001,-1.5665307484876965,432.0,1.7993777152068244,240083.0,0,7.0,0,0.0,0.7565397118133684,-0.012891347535584267
2020-W06,2020-02-03,11055944.95,19026687.97,-7970743.02,-1.564389531571752,342.0,2.1682072349651946,157734.0,0,0.0,0,0.0,0.8048926446581122,0.20332588305805555
