date_str,year,revenue,cogs,revenue_cal_median,revenue_cal_resid,revenue_robust_z,cogs_robust_z,gross_margin_rate,sessions,orders_count,orders_per_1000_sessions,expected_orders_per_1000_sessions,active_promo_count,promo_flag,avg_promo_discount_value,promo_discount_value,promo_impact_score,promo_projected_flag,promo_order_share,promo_discount_rate,promo_margin_pressure_actual,promo_margin_pressure,is_holiday,is_tet_window,is_hung_kings_day,is_lunar_holiday,is_black_friday_window,is_double_day_sale,is_1111_1212,is_year_end_window,is_new_year_window,is_payday_window,is_month_start,is_month_end,stockout_rate,stockout_sku_days,active_sku_days,fill_rate,stock_pressure_index,expected_lost_sales_index,cod_order_share,cancel_rate,top_product_revenue_share,units,discount_amount,gross_before_discount,revenue_shock_7d,cogs_shock_7d
2020-03-02,2020,723891.53,597321.16,4491777.525,-3767885.995,-2.9930740251903454,-2.2646760026100057,0.1748471487157751,30765.0,27.0,0.8776206728425158,7.140270560988132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5997154797811661,0.1111111111111111,0.1481481481481481,0.7798931146493729,136.0,0.0,723891.53,0.7771872796683857,0.7884396672680792
2022-01-03,2022,545563.72,476501.31,2851705.68,-2306141.96,-2.6566439225575555,-2.304246265911247,0.12658908110678616,15844.0,19.0,1.1991921232012115,9.358246245169925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3164585971055099,0.2105263157894736,0.0,0.9848247423783972,84.0,0.0,545563.72,0.1354084419698736,0.1496371920814623
2015-03-02,2015,1204115.66,996728.16,4491777.525,-3287661.865,-2.611601132517903,-1.9769042727203276,0.17223220898896033,22178.0,44.0,1.983948056632699,8.880139982502188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.7599301025343372,0.2272727272727272,0.0681818181818181,0.9036935787381092,206.0,0.0,1204115.66,0.2138008322181279,0.2219738654543755
2021-03-02,2021,679248.37,536287.19,4693887.34,-4014638.9699999997,-2.6098861239284417,-2.1272485283043476,0.21046966958492672,34281.0,14.0,0.4083894868877804,7.537065503049536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.6032456415845102,0.2142857142857142,0.0714285714285714,0.7285959920669371,79.0,0.0,679248.37,0.45300618699057,0.4475094017810709
2013-03-02,2013,279813.94,236576.31,3946866.21,-3667052.27,-2.6033481059671204,-2.1420114605787623,0.1545227875351743,18275.0,9.0,0.4924760601915184,6.315190749659397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.6683544303797468,0.2222222222222222,0.1111111111111111,0.9674161337351528,29.0,0.0,279813.94,0.5085962414661395,0.5011179211557515
2016-03-01,2016,709982.79,623398.17,4693887.34,-3983904.55,-2.5899059122868984,-2.072637868958615,0.12195312508913067,26992.0,26.0,0.963248369887374,11.132419664156416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.624927394144539,0.0769230769230769,0.0384615384615384,0.897206663277007,105.0,0.0,709982.79,0.3915074518708537,0.3907578159880059
2020-03-01,2020,574193.42,436323.03,4240123.5,-3665930.08,-2.4739476329123993,-2.0205005086842966,0.240111407058618,36014.0,19.0,0.5275726106514134,7.785308581256863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.6132590804895163,0.2105263157894736,0.1052631578947368,0.5832409225448804,90.0,0.0,574193.42,0.8540366700237877,0.839027454628767
2013-03-04,2013,1412869.43,1130489.5,4491777.525,-3078908.0950000007,-2.445774595442023,-1.8805295667082613,0.19986272192186927,21760.0,56.0,2.573529411764706,6.315190749659397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6683544303797468,0.1428571428571428,0.125,0.6976784259533452,240.0,0.0,1412869.43,0.5562230214551342,0.5872618241958784
2020-03-03,2020,943222.71,762767.07,4693887.34,-3750664.63,-2.438278422168109,-1.9852662480528527,0.19131816705303886,34111.0,30.0,0.8794816921227756,8.248829798262802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5883429081341881,0.1,0.0333333333333333,0.8310870398784185,171.0,0.0,943222.71,0.634117889174552,0.6246684010595425
2021-01-02,2021,378420.41,311258.46,2232673.4000000004,-1854252.9900000005,-2.416519084917323,-2.2193783735352866,0.17747972420409341,13267.0,17.0,1.281374839828145,8.198548935053967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.3063236872924868,0.2352941176470588,0.1764705882352941,0.923111969568449,55.0,0.0,378420.41,0.3106506512000412,0.3157763200771446
